title,label
Please stay inside and stay safe if you are in the downtown core right now Ottawa. We are here for anyone who needs to talk 613-238-3311,0
Dr Ali from the Irish Islamic Culture Centre just said he would seek legal advice if any journalist tweets one of  cartoons.,0
BREAKING ALERT: Preliminary reports indicate perpetrators appear to be members of ISIS. ,0
Update: Five hostages escape as a gunman continues siege in Sydney cafe ,0
Please DO NOT tweet locations of officers in Ottawa OttawaPolice  in light of what has just occured! ,0
"Pray for everyone in Paris, what happened today is truly sad, I think we lost peace forever. ",0
 @MISC(Photos) of the scene unfolding after multiple @CRIME(shootings) in @LOC(Ottawa) this morning.,1
"BREAKING:  suspects barricaded in house in Crepy-en-Valois, surrounded by police, Le Figaro reports ",0
I am reminded of the words of stephenfry ...,0
In @DATE(2012) the @PER(Syrian President) warned western governments not to back @CRIME(terrorism) in @LOC(Syria),1
"Gunman reportedly demands ISIS flag, contact with Australian PM ",0
"BREAKING: Two new hostages, both woman, run to safety from Sydney cafe, Australia television network reports ",0
"BREAKING: @ORG(Hebdo) to publish next week in defiance of @CRIME(attack), with global cartoonist support",1
"One million copies of Charlie Hebdo, rather than the usual 60,000, will be printed next week",0
Young woman carried out with blood running down her left leg. ,0
"Flag held by Sydney hostage often used by Jabhat Al-Nusra &amp; other armed Islamist groups, but not ISIS, expert says ",0
"Im so saddened by the tragic events at Charlie Hebdo and my heart goes out to their families, friends and community in France.",0
"Chapeau, George Packer and NewYorker, for telling it exactly as it is. ",0
3 people freed from cafe in Sydney under siege. Not clear how many  hostages remain.,0
@ORG(New Yorker) cartoon. Seems particularly relevant after @CRIME(attack),1
BREAKING The man behind the hostage situation at Martin Place has been identified as Man Monis sydneysiege,0
"Our thoughts are with those in Ottawa today. Stay safe, everyone.",0
breaking  We have now heard that all airspace in the Sydney city has been shut down. martinplace Lindt cafe ,0
French police release pic of two suspects from Thursday shooting of officer as hostage situation unfolds in Paris: ,0
BREAKING: Paris prosecutor: Gunman with hostages in kosher market in eastern Paris; police SWAT on scene.,0
Obama told Sony to stand up to North Korea in support of free speech. He will make no such declaration to us about Islamism ,0
4 cartoonists in Paris had more convictions than the whole of Indian mainstream media put together.,0
"At 87 years of age, Asterix cartoonist Uderzo gets back on the drawing board",0
Fuck Islam and fuck their pedophile prophet. Thats all.,0
Photo posted online shows scene by Paris supermarket where gunman reportedly holding hostages ,0
A message to all religions  ,0
A sad sad day for journalism but now we are all  ,0
I saw one of the soldiers laying on the ground. Witnesses depict chaos in OttawaShooting,0
The artist behind this iconic  pencil tribute ,0
Minute of silence for . My heart is with France. Together we will protect our values ,0
"BREAKING: NSW police have confirmed the siege in Sydneys CBD is now over, a police officer is reportedly among the several injured.",0
"BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag ",0
Banksy account joins cartoonists support for  JeSuisCharlie  ,0
BREAKING NEWS: UP TO 50 PEOPLE BEING HELD HOSTAGE IN SYDNEY. 7NEWS,0
"Stretchers taken from Sydney cafe after police storm building; fate of hostage-taker unknown - NBCNews, 7NewsSydney",0
BREAKING: Hostages are being held and a siege is taking place at Sydneys Lindt Chocolat Cafe in Martin Place.,0
Police establish tight cordon around second hostage scene in ,0
Arsene Wenger: To think in a country like France you can die for your ideas is absolutely shocking. ,0
Police confirm that live ammunition was used as heavily armed police stormed the café in Sydney - 9NewsSyd,0
"Charlie Hebdo will print one million copies of next issue, 20 times bigger than normal",0
The US Consulate in Sydney has been evacuated - Statement via PaulNBlake ,0
Security bulletin from Parliament Hill:,0
News of the @CRIME(attack) in @LOC(Ottawa) is extremely disturbing. I pray for everyone's safety.,1
The latest on the manhunt for Charlie Hebdo suspects: ,0
Charb: I would rather die standing up than live on my knees” ,0
Update: French interior ministry says Trocadero security scare is a false alarm. ,0
"Thinking of Layton's words: ""Love is better than anger. Hope is better than fear. Optimism is better than despair.""",0
 @ORG(RCMP) asking for assistance if you have any photos or videos from @CRIME(@CRIME(shootings)) in @LOC(Ottawa),1
Charlie Hebdo killers are dead. Sources say they are not in Paradise.,0
UPDATE: People in Sydneys CBD buildings surrounding Martin Place have reportedly been told to evacuate. 9News,0
Heartbreakingly brilliant cartoon by davpope canberratimes in solidarity with his French colleagues.  ,0
 cartoonist was on al Qaedas wanted list: ,0
"Even if MikeBrown was running down the street with a bag full of boosted goods, he deserved a trial. Not a street execution. Ferguson",0
 A series of loud blasts and bursts of ammunition have been heard at the cafe. ,0
Michael Brown DID NOT STEAL ANYTHING!!!!! It has just been reported that he didn't steal anything FergusonShooting Ferguson,0
Helicopters and vehicles are seen next to a building in Dammartin-en-Goele where a hostage-taking is underway AFP ,0
Horrific @CRIME(attack) on @LOC(France) and freedom. Cradle of press freedom,1
Alert thru press gallery email: RCMP advises if u r in downtown Ottawa to stay away from windows; off roofs due to ongoing police incident,0
This man says he's marching for Ottawa. ,0
Will continue publishing in wake of the @CRIME(attack),1
Paramedics are currently carrying out a number of hostages in MartinPl. ,0
The Eiffel Tower went dark last night to remember the victims of  ,0
"Charlie Hebdo: Now is the time to uphold freedoms, not give in to fear, says simonjenkins4",0
How @LOC(Parisians) responded to the @CRIME(attack),1
A few of the best @MISC(cartoons) shared in solidarity after yesterday’s @CRIME(massacre),1
"Reader comment: Our strength comes from unity, our freedom from expression ",0
"Remember that , like Theo Van Gogh, criticized ALL religions and people, not just ",0
UPDATE: Australian PM Abbott: Police dealing with reported hostage-taking incident in Sydneys business district - ,0
Social media users show solidarity for  with ,0
@ORG(New Yorker) cartoonist responds to the @CRIME(attack),1
"Sites evacuated now include State Library, Sydney Opera House, Channel 7 building in Martin Place.",0
"One of my favourites, particularly relevant right now  ",0
I am devastated by what just happened in France.  ,0
Anti-terror police close in on  suspects in tiny French village ,0
@ORG(Uber) intros surge pricing in downtown @LOC(Sydney) during hostage @CRIME(siege).,1
"Charlie Hebdo journalist Wandrille Lanos tells France 2 that men with kalashnikovs entered the office, calls it a scene of carnage.",0
"Charlie Hebdo wasnt singling out Islam. Its target was authority, whatever its source. ",0
"Guns raised, officers rush towards RideauCentre",0
A real Muslim cannot be a terrorist. ***  ,0
"Charlie Hebdo: Norway didn’t give in to Islamophobia, nor should France | Owen Jones ",0
 journalists inside dammartin asked to avoid filming police positions to not alert suspects where they are.,0
The New Yorker’s Charlie Hebdo cover is wonderful: ,0
"Oh, thats right! Twitter banned him for tweeting the truth about Islam.",0
what we know so far ,0
Fire door is still open. SWAT police at its opening. Three people freed. ,0
Mother of two young children who attend school near  site... ,0
"Second thought: Only way to pay respect to those who died is by defending the rights that Charlie Hebdo defended, and in as upfront a way.",0
"For those who, like me, wish Christooher Hitchens were here to comment, do read this: ",0
People who have actually died of being offended: 0,0
Sydney in lockdown as at least one gunman holds several people hostage in a café ,0
French media says cartoonist behind original Prophet cartoon is dead  via EricWRandolph,0
"Standing up for freedom of speech, I am tweeting the  cartoon  ",0
"Schools near siege building in Dammartin-en-Goele being evacuated, say officials. Follow our coverage: ",0
Solidarity with Charlie Hebdo. ,0
Central Sydney shut down by police amid ongoing hostage situation: ,0
"I do not agree with what you have to say, but Ill defend to the death your right to say it - Voltaire  ",0
Breaking News: 2 hostage standoffs right now in France. 1 involves  suspects.,0
"@LOC(Sydney) cafe in @CRIME(hostage) crisis may hold up to 10 staff and perhaps 30 customers, @ORG(Lindt) says.",1
OttawaShooting situation is fluid and ongoing. Remain vigilant and aware. Tip line,0
BREAKING NEWS - Exchange of fire reported in DammartinEnGoele  ,0
"Nothing destroyed Breiviks maniacal rhetoric more than Norways calm, humane handling of his case. A lesson for everyone. ",0
It’s horrible that @LOC(Paris) has to deal with all these violent @CRIME(attacks). What a way to start @DATE(2015).,1
@PER(Georges Wolinski) and @PER(Cabu) among victims of @CRIME(attack) in @LOC(Paris),1
The governing party’s meeting. Wow. acarvin: Parliament caucus room barricaded with chairs,0
"Surviving Charlie Hebdo staff say theyll publish next week, with 1m print run",0
BREAKING UPDATE - @LOC(FRANCE): Police order all shops closed in famed @MISC(Jewish neighborhood) in central @LOC(Paris) following @CRIME(attacks).,1
Exactly the right response: mass  sharing starts at 14 GMT via IndexCensorship,0
sydneyseige Gunman wants to talk to PM Abbott ,0
Video shows gunmen in ,0
"Somewhere, Marine Le Pen is planning her presidential inauguration &amp; figuring out where Putins guest of honor seat will be. ",0
Twitter users are expressing solidarity with  by using the hashtag ,0
"Children among at least six people taken hostage at kosher store, reports say. ",0
Any other stupid failures of PC that need addressing?,0
One million copies of  to be published as French media vow to keep it running  ,0
UPDATE: An ISIS flag is being displayed in the window of a café under siege in Sydney’s Martin Place. 9News,0
BREAKING: unconfirmed reports contact has been made to a Sydney radio station. campricenews martinplace ,0
"Sitting in McDonalds in Ferguson, man says to cashier: They're trying to make this about looting, this is about police murdering a kid",0
Brilliant by LucilleClerc  ,0
"Protest continues in front of ferguson police dept ""the people united, will never be defeated"" ",0
The PMs office releases a statement about  sydneysiege. ,0
Freedom of expression should never be an act of bravery. Whoever threatens it is an enemy of all freedom-loving people. ,0
A gunman holding hostages in a Sydney cafe is said to be demanding an ISIS flag ,0
Police: Operation dealing with armed incident in Sydneys Martin Place; people nearby urged to shelter in place - ,0
